pc_utc_iso,value
2026-04-14T15:10:11.8246622Z,8207
2026-04-14T15:10:11.8382923Z,8251
2026-04-14T15:10:11.8518743Z,8308
2026-04-14T15:10:11.8668705Z,8397
2026-04-14T15:10:11.8808056Z,8664
2026-04-14T15:10:11.8956586Z,8840
2026-04-14T15:10:11.9096710Z,9175
2026-04-14T15:10:11.9238054Z,9321
2026-04-14T15:10:11.9374864Z,9452
2026-04-14T15:10:11.9515025Z,9702
2026-04-14T15:10:11.9651172Z,9821
2026-04-14T15:10:11.9794705Z,10005
2026-04-14T15:10:11.9931854Z,10104
2026-04-14T15:10:12.0072164Z,10173
2026-04-14T15:10:12.0219724Z,10291
2026-04-14T15:10:12.0360545Z,10354
2026-04-14T15:10:12.0508406Z,10431
2026-04-14T15:10:12.0650490Z,10481
2026-04-14T15:10:12.0790789Z,10589
2026-04-14T15:10:12.0924633Z,10655
2026-04-14T15:10:12.1069801Z,10710
2026-04-14T15:10:12.1194886Z,10838
2026-04-14T15:10:12.1330765Z,10890
2026-04-14T15:10:12.1466343Z,10963
2026-04-14T15:10:12.1613136Z,11061
2026-04-14T15:10:12.1753394Z,11088
2026-04-14T15:10:12.1915085Z,11201
2026-04-14T15:10:12.2065062Z,11240
2026-04-14T15:10:12.2205640Z,11275
2026-04-14T15:10:12.2347043Z,11290
2026-04-14T15:10:12.2477478Z,11303
2026-04-14T15:10:12.2626667Z,11306
2026-04-14T15:10:12.2767325Z,11305
2026-04-14T15:10:12.2901605Z,11255
2026-04-14T15:10:12.3035158Z,11205
2026-04-14T15:10:12.3184743Z,11043
2026-04-14T15:10:12.3327610Z,10937
2026-04-14T15:10:12.3467273Z,10814
2026-04-14T15:10:12.3609895Z,10553
2026-04-14T15:10:12.3750323Z,10408
2026-04-14T15:10:12.3875484Z,10112
2026-04-14T15:10:12.4014213Z,9977
2026-04-14T15:10:12.4156548Z,9839
2026-04-14T15:10:12.4294673Z,9627
2026-04-14T15:10:12.4430002Z,9537
2026-04-14T15:10:12.4578417Z,9478
2026-04-14T15:10:12.4725132Z,9408
2026-04-14T15:10:12.4867083Z,9391
2026-04-14T15:10:12.5007624Z,9418
2026-04-14T15:10:12.5144463Z,9479
2026-04-14T15:10:12.5280463Z,9676
2026-04-14T15:10:12.5422829Z,9799
2026-04-14T15:10:12.5561597Z,9919
2026-04-14T15:10:12.5708867Z,10164
2026-04-14T15:10:12.5851802Z,10269
2026-04-14T15:10:12.5990693Z,10410
2026-04-14T15:10:12.6129353Z,10484
2026-04-14T15:10:12.6275118Z,10539
2026-04-14T15:10:12.6410203Z,10540
2026-04-14T15:10:12.6550963Z,10496
2026-04-14T15:10:12.6688326Z,10328
2026-04-14T15:10:12.6833554Z,10208
2026-04-14T15:10:12.6972671Z,10085
2026-04-14T15:10:12.7112734Z,9837
2026-04-14T15:10:12.7259767Z,9729
2026-04-14T15:10:12.7415209Z,9532
2026-04-14T15:10:12.7564849Z,9435
2026-04-14T15:10:12.7701561Z,9302
2026-04-14T15:10:12.7845859Z,9262
2026-04-14T15:10:12.7981859Z,9302
2026-04-14T15:10:12.8122441Z,9379
2026-04-14T15:10:12.8267726Z,9483
2026-04-14T15:10:12.8409956Z,9744
2026-04-14T15:10:12.8545027Z,9878
2026-04-14T15:10:12.8694037Z,10112
2026-04-14T15:10:12.8839170Z,10225
2026-04-14T15:10:12.8987238Z,10373
2026-04-14T15:10:12.9127309Z,10413
2026-04-14T15:10:12.9269090Z,10430
2026-04-14T15:10:12.9405876Z,10317
2026-04-14T15:10:12.9556996Z,10196
2026-04-14T15:10:12.9704711Z,9900
2026-04-14T15:10:12.9834701Z,9742
2026-04-14T15:10:12.9976135Z,9452
2026-04-14T15:10:13.0116395Z,9320
2026-04-14T15:10:13.0263855Z,9227
2026-04-14T15:10:13.0403196Z,9116
2026-04-14T15:10:13.0549043Z,9086
2026-04-14T15:10:13.0689897Z,9123
2026-04-14T15:10:13.0839143Z,9200
2026-04-14T15:10:13.0977348Z,9443
2026-04-14T15:10:13.1122563Z,9571
2026-04-14T15:10:13.1269580Z,9703
2026-04-14T15:10:13.1416681Z,9924
2026-04-14T15:10:13.1561016Z,10014
2026-04-14T15:10:13.1700177Z,10185
2026-04-14T15:10:13.1841280Z,10281
2026-04-14T15:10:13.1984263Z,10392
2026-04-14T15:10:13.2118762Z,10426
2026-04-14T15:10:13.2257424Z,10452
2026-04-14T15:10:13.2392228Z,10398
2026-04-14T15:10:13.2528696Z,10323
2026-04-14T15:10:13.2656938Z,10225
2026-04-14T15:10:13.2796993Z,9966
2026-04-14T15:10:13.2942925Z,9814
2026-04-14T15:10:13.3078121Z,9516
2026-04-14T15:10:13.3218120Z,9396
2026-04-14T15:10:13.3358882Z,9282
2026-04-14T15:10:13.3498972Z,9139
2026-04-14T15:10:13.3634982Z,9103
2026-04-14T15:10:13.3775075Z,9077
2026-04-14T15:10:13.3922259Z,9048
2026-04-14T15:10:13.4057579Z,9037
2026-04-14T15:10:13.4191887Z,9028
2026-04-14T15:10:13.4326274Z,9025
2026-04-14T15:10:13.4463962Z,9025
2026-04-14T15:10:13.4610173Z,9027
2026-04-14T15:10:13.4765551Z,9020
2026-04-14T15:10:13.4903698Z,9019
2026-04-14T15:10:13.5039611Z,9018
2026-04-14T15:10:13.5179487Z,9020
2026-04-14T15:10:13.5317038Z,9023
2026-04-14T15:10:13.5454576Z,9020
2026-04-14T15:10:13.5589207Z,9023
2026-04-14T15:10:13.5726312Z,9017
2026-04-14T15:10:13.5869416Z,9019
2026-04-14T15:10:13.6013433Z,9020
2026-04-14T15:10:13.6163694Z,9022
2026-04-14T15:10:13.6304151Z,9022
2026-04-14T15:10:13.6450140Z,9024
2026-04-14T15:10:13.6594718Z,9020
2026-04-14T15:10:13.6733832Z,9017
2026-04-14T15:10:13.6876346Z,9019
2026-04-14T15:10:13.7019127Z,9020
